date,open,high,low,close,volume,mkt_cap
"Jan 01, 2019",3746.71,3850.91,3707.23,3843.52,4324200990,67098634181
"Jan 01, 2018",14112.20,14112.20,13154.70,13657.20,10291200000,229119155396
"Jan 01, 2017",963.66,1003.08,958.70,998.33,147775008,16050407461
"Jan 01, 2016",430.72,436.25,427.52,434.33,36278900,6529299589
"Jan 01, 2015",320.43,320.43,314.00,314.25,8036550,4297535768
"Jan 01, 2014",754.97,775.35,754.97,771.40,22489400,9403308145
